"Date","Mean_UK_EEZ_SST"
1948-08-10,9.0535034106328
1948-09-09,8.31016325583825
1948-10-09,8.46902339641865
1948-11-08,9.02788151961107
1948-12-08,9.73378733121432
1949-01-07,11.4370822026179
1949-02-06,14.5864624463595
1949-03-08,15.2875911565927
1949-04-07,14.5959076808049
1949-05-07,13.6023871495174
1949-06-06,11.449051622244
1949-07-06,9.87835507026085
1949-08-05,8.81659408716055
1949-09-04,8.06261489574726
1949-10-04,8.28842061849741
1949-11-03,8.75051336288452
1949-12-03,10.2139846288241
1950-01-02,13.0160337007963
1950-02-01,15.0747447527372
1950-03-03,15.1587250636174
1950-04-02,14.5983497766348
1950-05-02,13.0796013318575
1950-06-01,11.2988486510057
1950-07-01,9.8285636975215
1950-07-31,8.85920187876775
1950-08-30,8.1403659086961
1950-09-29,7.54922187878535
1950-10-29,8.12333547885601
1950-11-28,9.41649450155405
1950-12-28,11.8661442389855
1951-01-27,14.1809534072876
1951-02-26,14.9671225327712
1951-03-28,14.8867803426889
1951-04-27,13.4855943239652
1951-05-27,11.5509127836961
1951-06-26,10.2233155030471
1951-07-26,9.15552651331975
1951-08-25,8.34346600312453
1951-09-24,8.13634229806753
1951-10-24,8.52261017285861
1951-11-23,9.78128925470205
1951-12-23,12.2498645635752
1952-01-22,15.2159424855159
1952-02-21,15.6799689366267
1952-03-22,15.2285156983596
1952-04-21,13.6050722268912
1952-05-21,12.1491710369404
1952-06-20,10.8880256652832
1952-07-20,9.63418840261606
1952-08-19,8.33356367257925
1952-09-18,7.77770011975215
1952-10-18,8.64078921538133
1952-11-17,9.68002548951369
1952-12-17,12.0179634094238
1953-01-16,13.8130881529588
1953-02-15,15.3185878313505
1953-03-17,14.4058788006122
1953-04-16,13.5028104488666
1953-05-16,11.7420825224656
1953-06-15,10.0209672194261
1953-07-15,8.80885203434871
1953-08-14,8.309616624392
1953-09-13,7.73672478015606
1953-10-13,8.5957011442918
1953-11-12,9.73595177577092
1953-12-12,11.9051687827477
1954-01-11,13.432036458529
1954-02-10,14.1660857420701
1954-03-12,14.5909060111413
1954-04-11,13.6161705310528
1954-05-11,11.4703663752629
1954-06-10,9.56316739595853
1954-07-10,8.71834270037137
1954-08-09,8.49309102571928
1954-09-08,8.35593211834247
1954-10-08,9.06245190547063
1954-11-07,10.37846729572
1954-12-07,12.2523406542264
1955-01-06,14.9138340143057
1955-02-05,14.9941237669725
1955-03-07,14.6414600078876
1955-04-06,12.9041162050687
1955-05-06,11.695437666086
1955-06-05,10.4963388589712
1955-07-05,9.3249662399292
1955-08-04,8.56663826428927
1955-09-03,8.09699084942157
1955-10-03,8.50368093343882
1955-11-02,9.67705411911011
1955-12-02,11.0030015211839
1956-01-01,13.2384561098539
1956-01-31,14.3542793860802
1956-03-01,14.9487053797795
1956-03-31,13.4903206898616
1956-04-30,11.3674919862014
1956-05-30,10.1506069550147
1956-06-29,9.29671678543091
1956-07-29,8.63737847988422
1956-08-28,8.58643141526442
1956-09-27,8.93460019184993
1956-10-27,10.064105796814
1956-11-26,11.5619505662184
1956-12-26,14.6014286187979
1957-01-25,15.6841983795166
1957-02-24,15.4811637878418
1957-03-26,13.5063647343562
1957-04-25,11.2203687227689
1957-05-25,9.61619412348821
1957-06-24,8.31070050459642
1957-07-24,7.51011310357314
1957-08-23,7.84842789723323
1957-09-22,8.47073937929594
1957-10-22,9.71367734762338
1957-11-21,12.750039760883
1957-12-21,14.3129814734826
1958-01-20,15.0463829920842
1958-02-19,14.0180527173556
1958-03-21,12.4210978874793
1958-04-20,10.9612498796903
1958-05-20,9.35300895984356
1958-06-19,8.34915425227239
1958-07-19,7.57991152543288
1958-08-18,7.4777146596175
1958-09-17,7.39235688356253
1958-10-17,8.93241616762601
1958-11-16,11.2700884305514
1958-12-16,14.7103566683256
1959-01-15,15.4926402752216
1959-02-14,14.6484745172354
1959-03-16,12.8585996627808
1959-04-15,11.2594424027663
1959-05-15,9.50576788095328
1959-06-14,8.21403432992788
1959-07-14,7.92962159376878
1959-08-13,7.81108542222243
1959-09-12,8.60265432504507
1959-10-12,10.2951546595647
1959-11-11,12.5390510999239
1959-12-11,13.9718290622418
1960-01-10,14.9906638805683
1960-02-09,14.5333578990056
1960-03-10,12.5133229329036
1960-04-09,10.4162958732018
1960-05-09,9.10145082473755
1960-06-08,8.27605532132662
1960-07-08,7.85227348621075
1960-08-07,7.6321185698876
1960-09-06,8.30432611612173
1960-10-06,9.64592324036818
1960-11-05,11.0175537549532
1960-12-05,14.1191743410551
1961-01-04,14.8774525715755
1961-02-03,14.0061432324923
1961-03-05,12.6360050201416
1961-04-04,11.0695223881648
1961-05-04,9.69696400715755
1961-06-03,8.0312517789694
1961-07-03,7.66152427379902
1961-08-02,7.09858864637522
1961-09-01,7.91466186229999
1961-10-01,9.14678951410147
1961-10-31,11.6712433888362
1961-11-30,14.1265065559974
1961-12-30,14.6244837981004
1962-01-29,14.3936829346877
1962-02-28,13.1673458392803
1962-03-30,11.3283345442552
1962-04-29,9.56211833220262
1962-05-29,8.86458259729239
1962-06-28,8.75042085647583
1962-07-28,8.72767623021053
